shallow
4
-300 -300
300 -300
300 300
-300 300
1000 1000
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 0
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 2000
shallow
4
-300 -100
300 -300
300 300
-300 100
2000 2000
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 500
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 1000
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 0
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 2000
shallow
4
-300 -100
300 -300
300 300
-300 100
2000 2000
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 500
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 1000
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 0
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 2000
shallow
4
-300 -100
300 -300
300 300
-300 100
2000 2000
shallow
4
-300 -300
300 -300
300 300
-300 300
1000 500
ENDofFILE
