test
10
1000
16
64
80
3000
7
64 0
0 256
16 486
48 512
80 512
112 486
128 256
1
test
1 1
1
1
0
END_SHIP
Scharnhorst
3
117680
30
236
31.6
31500
135
125 1872
118 1872
122 1872
113 1870
109 1865
101 1846
93 1821
87 1799
77 1759
70 1722
65 1697
59 1668
53 1639
50 1615
47 1602
46 1571
43 1557
40 1543
39 1531
34 1501
26 1448
20 1398
14 1342
10 1289
6 1236
3 1183
1 1132
0 1076
0 1001
0 949
1 896
2 844
4 794
6 761
9 712
12 676
17 623
20 598
23 572
27 541
31 510
36 475
40 450
44 430
47 413
48 388
48 361
49 356
55 315
62 273
68 237
76 191
83 157
89 129
93 123
96 121
96 118
94 117
94 115
99 115
99 103
97 100
98 90
106 55
118 12
121 6
125 2
125 0
125 2
129 6
132 12
144 55
152 90
153 100
151 103
151 115
156 115
156 117
154 118
154 121
157 123
161 129
167 157
174 191
182 237
188 273
195 315
201 356
202 361
202 388
203 413
206 430
210 450
214 475
219 510
223 541
227 572
230 598
233 623
238 676
241 712
244 761
246 794
248 844
249 896
250 949
250 1001
250 1076
249 1132
247 1183
244 1236
240 1289
236 1342
230 1398
224 1448
216 1501
211 1531
210 1543
207 1557
204 1571
203 1602
200 1615
197 1639
191 1668
185 1697
180 1722
173 1759
163 1799
157 1821
149 1846
141 1865
137 1870
128 1872
132 1872
125 936
6
scharnhorst main turret
1 -461
250
110
0
scharnhorst main turret
1 -336
250
110
0
scharnhorst main turret
1 451
70
290
180
scharnhorst double 150 turret
50 50
10
170
90
scharnhorst single 150 turret
-50 50
170
10
270
scharnhorst double 105 turret
-50 120
170
10
270
END_SHIP
Krasnyj Kawkaz
30
55000
16
170
30
9030
72
63 1308
49 1308
49 1307
29 1253
17 1181
15 1164
2 1163
2 1162
15 1161
13 1142
11 1119
8 1063
5 995
4 952
3 808
3 700
2 598
2 526
1 451
1 411
4 410
5 362
7 337
9 296
12 255
16 216
18 201
14 200
15 189
18 158
24 116
31 79
49 22
55 5
59 2
62 1
63 0
64 1
67 2
71 5
77 22
95 79
102 116
108 158
111 189
112 200
108 201
110 216
114 255
117 296
119 337
121 362
122 410
125 411
125 451
124 526
124 598
123 700
123 808
122 952
121 995
118 1063
115 1119
113 1142
111 1161
124 1162
124 1163
111 1164
109 1181
97 1253
77 1307
77 1308
4
kawkaz main turret
1 422
120
240
180
kawkaz main turret
1 365
120
240
180
kawkaz main turret
1 -348
240
120
0
kawkaz main turret
1 -403
240
120
0
END_SHIP
